academic_stream,twelfth_percentage,budget_range,primary_interest,risk_appetite,india_vs_abroad,india_entrance_exams,abroad_entrance_exams,visa_policy_summary,university_comparison,cutoff_criteria
Commerce,66.0,20-30L,Business,High,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,63.7,30-50L,Medicine,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,86.6,10-20L,Business,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,71.5,50L+,Government,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,56.8,5-10L,Business,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,77.0,50L+,Medicine,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,72.0,10-20L,Business,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,85.4,5-10L,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,85.7,20-30L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,60.2,50L+,Government,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,75.7,20-30L,Business,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,87.2,5-10L,Medicine,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,73.7,50L+,Technology,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,81.3,50L+,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,87.9,20-30L,Arts,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,82.7,10-20L,Research,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,73.0,30-50L,Arts,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,67.3,30-50L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,84.5,30-50L,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,64.8,30-50L,Medicine,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,72.7,30-50L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,60.0,20-30L,Research,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,60.3,30-50L,Government,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,69.8,50L+,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,71.4,20-30L,Business,High,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,98.9,30-50L,Arts,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,89.4,10-20L,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,71.8,30-50L,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,77.2,10-20L,Medicine,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,100.0,30-50L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,63.2,50L+,Business,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,67.3,5-10L,Government,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,62.4,5-10L,Arts,High,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,79.6,30-50L,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,70.7,10-20L,Arts,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,76.5,5-10L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,96.5,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,75.8,10-20L,Research,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,75.8,30-50L,Research,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,69.6,5-10L,Medicine,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,78.9,5-10L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,95.3,50L+,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,59.3,5-10L,Research,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,70.5,30-50L,Government,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,61.9,5-10L,Research,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,78.2,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,67.2,5-10L,Arts,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,64.1,20-30L,Government,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,64.6,5-10L,Medicine,Medium,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,79.7,50L+,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,79.5,20-30L,Technology,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,69.5,30-50L,Arts,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,80.2,5-10L,Medicine,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,71.1,50L+,Medicine,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,69.7,50L+,Research,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,70.3,10-20L,Research,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,73.2,20-30L,Medicine,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,64.9,50L+,Technology,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,81.2,20-30L,Arts,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,72.1,50L+,Government,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,60.1,50L+,Medicine,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,70.1,30-50L,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,78.1,30-50L,Government,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,53.2,50L+,Medicine,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,84.8,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,48.7,50L+,Technology,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,74.7,10-20L,Government,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,58.5,10-20L,Research,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,74.1,20-30L,Research,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,76.6,20-30L,Arts,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,74.8,30-50L,Business,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,64.4,20-30L,Medicine,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,75.2,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,63.3,30-50L,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,52.5,20-30L,Research,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,71.4,20-30L,Business,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,73.6,20-30L,Research,Low,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,71.4,30-50L,Business,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,77.0,20-30L,Research,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,73.1,20-30L,Business,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,69.2,10-20L,Government,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,83.1,10-20L,Government,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,79.2,20-30L,Business,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,84.4,20-30L,Arts,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,63.9,20-30L,Medicine,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,80.1,30-50L,Research,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,77.8,50L+,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,70.2,5-10L,Research,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,61.3,30-50L,Research,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,55.2,5-10L,Arts,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,79.7,5-10L,Business,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,64.6,30-50L,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,62.9,20-30L,Arts,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,84.9,5-10L,Research,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,81.0,50L+,Medicine,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,60.2,20-30L,Research,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,78.3,10-20L,Medicine,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,58.0,20-30L,Medicine,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,82.7,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,64.9,20-30L,Medicine,Low,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,79.5,10-20L,Business,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,70.1,10-20L,Research,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,65.2,5-10L,Medicine,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,65.0,10-20L,Medicine,Low,Stay in India,CUET / CLAT,SAT / IELTS,No visa required,LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,86.7,30-50L,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,85.1,20-30L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,66.3,20-30L,Government,Low,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,64.5,30-50L,Arts,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,74.4,50L+,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,58.4,10-20L,Technology,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,88.4,20-30L,Government,High,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,77.8,50L+,Medicine,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,79.3,30-50L,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,85.6,50L+,Medicine,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,74.8,50L+,Technology,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,75.0,50L+,Government,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,70.6,10-20L,Business,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.2,20-30L,Business,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,72.6,10-20L,Research,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,66.7,30-50L,Technology,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,63.3,30-50L,Research,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,57.9,50L+,Arts,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,69.0,20-30L,Business,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,94.3,50L+,Government,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,58.9,5-10L,Arts,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,54.6,50L+,Research,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,48.9,30-50L,Research,High,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,79.6,5-10L,Medicine,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,62.2,20-30L,Business,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,87.8,5-10L,Business,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,61.8,20-30L,Government,High,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,84.8,20-30L,Research,High,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,71.5,5-10L,Business,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,66.6,10-20L,Arts,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,89.5,20-30L,Research,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,88.2,30-50L,Business,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,68.2,30-50L,Arts,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,62.3,5-10L,Government,Medium,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Commerce,63.9,20-30L,Arts,Medium,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,65.1,50L+,Medicine,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,91.4,30-50L,Business,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
